"exam_id"	"exam_date"	"exam_year"	"exam_type"
"GLBAEP103100225"	"1770-02-00"	1770	"settlement"
"GLBAEP103100230"	"1770-02-00"	1770	"settlement"
"GLBAEP103100216"	"1770-02-02"	1770	"settlement"
"GLBAEP103100224"	"1770-02-15"	1770	"settlement"
"GLBAEP103100233"	"1770-02-21"	1770	"settlement"
"GLBAEP103100236"	"1770-02-21"	1770	"bastardy"
"GLBAEP103100241"	"1770-03-02"	1770	"settlement"
"GLBAEP103100246"	"1770-03-03"	1770	"settlement"
"GLBAEP103100249"	"1770-03-07"	1770	"settlement"
"GLBAEP103100254"	"1770-03-15"	1770	"settlement"
"GLBAEP103100257"	"1770-04-05"	1770	"settlement"
"GLBAEP103100267"	"1770-04-24"	1770	"settlement"
"GLBAEP103100268"	"1770-04-24"	1770	"settlement"
"GLBAEP103100260"	"1770-04-27"	1770	"settlement"
"GLBAEP103100273"	"1770-05-10"	1770	"settlement"
"GLBAEP103100283"	"1770-05-26"	1770	"bastardy"
"GLBAEP103100291"	"1770-06-00"	1770	"settlement"
"GLBAEP103100292"	"1770-06-00"	1770	"settlement"
"GLBAEP103100284"	"1770-06-15"	1770	"settlement"
"GLBAEP103100308"	"1770-09-18"	1770	"settlement"
"GLBAEP103100326"	"1770-10-00"	1770	"settlement"
"GLBAEP103100331"	"1770-10-00"	1770	"settlement"
"GLBAEP103100337"	"1770-10-00"	1770	"settlement"
"GLBAEP103100315"	"1770-10-04"	1770	"bastardy"
"GLBAEP103100316"	"1770-10-09"	1770	"settlement"
"GLBAEP103100321"	"1770-10-11"	1770	"settlement"
"GLBAEP103100332"	"1770-10-22"	1770	"settlement"
"GLBAEP103100338"	"1770-10-29"	1770	"bastardy"
"GLBAEP103100341"	"1770-10-29"	1770	"settlement"
"GLBAEP103100346"	"1770-11-00"	1770	"settlement"
"GLBAEP103100342"	"1770-11-07"	1770	"settlement"
"GLBAEP103100345"	"1770-11-27"	1770	"settlement"
"GLBAEP103100349"	"1770-12-16"	1770	"settlement"
"GLBAEP103100350"	"1770-12-17"	1770	"settlement"
"GLBAEP103100353"	"1771-01-18"	1771	"settlement"
"GLBAEP103100354"	"1771-01-29"	1771	"settlement"
"GLBAEP103100358"	"1771-02-00"	1771	"bastardy"
